[16:17:33] [INFO ]  	
[16:17:33] [INFO ]  ------------------------------------------
[16:17:33] [INFO ]  IV Scan
[16:17:33] [INFO ]  ------------------------------------------
[16:17:33] [INFO ]  Measurement of I-V curve for a single cell.
[16:17:33] [INFO ]  	
[16:17:33] [INFO ]  Start date          : 2022/03/22 16:17:33
[16:17:33] [INFO ]  User                : silicon
[16:17:33] [INFO ]  Host                : HGC-PC
[16:17:33] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[16:17:33] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_161733/log.txt
[16:17:33] [INFO ]  	
[16:17:33] [INFO ]  Initialising device.
[16:17:33] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[16:17:33] [INFO ]  Initialising device.
[16:17:34] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 6514,0804673,A11   Apr  3 2003 11:37:06/A02  /D
[16:17:34] [INFO ]  Measurement Settings:
[16:17:34] [INFO ]  Power supply voltage limit:      2.10E+01 V
[16:17:34] [INFO ]  Power supply current limit:      1.00E-03 A
[16:17:34] [INFO ]  Voltage Delay:                       2.00 s
[16:17:34] [INFO ]  	
[16:17:34] [INFO ]  	
[16:17:34] [INFO ]  Nominal Voltage [V]	 Measured Voltage [V]	Current [A]	Current Error [A]	Total Current[A]	
[16:17:34] [INFO ]  ----------------------------------------------------------------------------------------------------------
[16:23:27] [INFO ]  -6.20E+02	-6.20E+02	-4.436E-05	6.886E-10	-2.40E-04
[16:23:32] [INFO ]  -6.30E+02	-6.30E+02	-4.494E-05	3.016E-09	-2.45E-04
[16:23:38] [INFO ]  -6.40E+02	-6.40E+02	-4.553E-05	1.499E-09	-2.49E-04
[16:23:44] [INFO ]  -6.50E+02	-6.50E+02	-4.612E-05	6.560E-10	-2.54E-04
[16:23:49] [INFO ]  -6.60E+02	-6.60E+02	-4.671E-05	8.699E-10	-2.59E-04
[16:23:55] [INFO ]  -6.70E+02	-6.70E+02	-4.731E-05	1.373E-09	-2.64E-04
[16:24:01] [INFO ]  -6.80E+02	-6.80E+02	-4.791E-05	1.653E-09	-2.69E-04
[16:24:06] [INFO ]  -6.90E+02	-6.90E+02	-4.853E-05	1.339E-09	-2.74E-04
[16:24:12] [INFO ]  -7.00E+02	-7.00E+02	-4.914E-05	7.719E-10	-2.79E-04
[16:24:17] [INFO ]  -7.10E+02	-7.10E+02	-4.975E-05	1.315E-09	-2.84E-04
[16:24:23] [INFO ]  -7.20E+02	-7.20E+02	-5.038E-05	1.923E-09	-2.89E-04
[16:24:29] [INFO ]  -7.30E+02	-7.30E+02	-5.101E-05	9.531E-10	-2.94E-04
[16:24:34] [INFO ]  -7.40E+02	-7.40E+02	-5.165E-05	8.309E-10	-2.99E-04
[16:24:40] [INFO ]  -7.50E+02	-7.50E+02	-5.230E-05	7.704E-10	-3.04E-04
[16:24:45] [INFO ]  -7.60E+02	-7.60E+02	-5.297E-05	2.606E-09	-3.09E-04
[16:24:51] [INFO ]  -7.70E+02	-7.70E+02	-5.365E-05	2.521E-09	-3.15E-04
[16:24:57] [INFO ]  -7.80E+02	-7.80E+02	-5.433E-05	1.631E-09	-3.20E-04
[16:25:02] [INFO ]  -7.90E+02	-7.90E+02	-5.502E-05	1.444E-09	-3.25E-04
[16:25:07] [INFO ]  -8.00E+02	-8.00E+02	-5.573E-05	4.811E-10	-3.30E-04
[16:25:13] [INFO ]  -8.10E+02	-8.10E+02	-5.646E-05	3.033E-09	-3.36E-04
[16:25:19] [INFO ]  -8.20E+02	-8.20E+02	-5.721E-05	1.285E-09	-3.42E-04
[16:25:24] [INFO ]  -8.30E+02	-8.30E+02	-5.796E-05	2.113E-09	-3.47E-04
[16:25:30] [INFO ]  -8.40E+02	-8.40E+02	-5.874E-05	2.943E-09	-3.53E-04
[16:25:36] [INFO ]  -8.50E+02	-8.50E+02	-5.955E-05	8.824E-10	-3.58E-04
[16:25:41] [INFO ]  -8.60E+02	-8.60E+02	-6.035E-05	6.483E-10	-3.64E-04
[16:25:47] [INFO ]  -8.70E+02	-8.70E+02	-6.120E-05	2.756E-09	-3.70E-04
[16:25:52] [INFO ]  -8.80E+02	-8.80E+02	-6.206E-05	1.703E-09	-3.76E-04
[16:25:58] [INFO ]  -8.90E+02	-8.90E+02	-6.293E-05	2.756E-09	-3.83E-04
[16:26:04] [INFO ]  -9.00E+02	-9.00E+02	-6.384E-05	2.183E-09	-3.89E-04
[16:26:09] [INFO ]  -9.10E+02	-9.10E+02	-6.476E-05	2.501E-09	-3.96E-04
[16:26:15] [INFO ]  -9.20E+02	-9.20E+02	-6.573E-05	1.382E-09	-4.02E-04
[16:26:21] [INFO ]  -9.30E+02	-9.30E+02	-6.671E-05	2.280E-09	-4.09E-04
[16:26:26] [INFO ]  -9.40E+02	-9.40E+02	-6.771E-05	1.468E-09	-4.16E-04
[16:26:32] [INFO ]  -9.50E+02	-9.50E+02	-6.876E-05	3.466E-09	-4.23E-04
[16:26:38] [INFO ]  -9.60E+02	-9.60E+02	-6.983E-05	3.413E-09	-4.30E-04
[16:26:43] [INFO ]  -9.70E+02	-9.70E+02	-7.094E-05	2.322E-09	-4.38E-04
[16:26:49] [INFO ]  -9.80E+02	-9.80E+02	-7.208E-05	3.144E-09	-4.45E-04
[16:26:54] [INFO ]  -9.90E+02	-9.90E+02	-7.327E-05	3.467E-09	-4.53E-04
[16:27:38] [INFO ]  

[16:27:38] [INFO ]  Saving output to file logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_161733/iv.dat
[16:27:38] [INFO ]  Saving output to file logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_161733/iv_HPK_ProtoA_300042_HD_UR_1.4E16.png
[16:27:38] [INFO ]  Saving output to file logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_161733/iv_zoom_HPK_ProtoA_300042_HD_UR_1.4E16.png
[16:27:39] [INFO ]  Saving output to file logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_161733/iv_total_current_HPK_ProtoA_300042_HD_UR_1.4E16.png
[16:27:39] [INFO ]  

[16:27:39] [INFO ]  	
[16:27:39] [INFO ]  Cleaning up.
[16:27:39] [INFO ]  	
[16:27:39] [INFO ]  	
