[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  
[14:13:06] [INFO ]  ------------------------------------------
[14:13:06] [INFO ]  Single CV Measurement
[14:13:06] [INFO ]  ------------------------------------------
[14:13:06] [INFO ]  Multiple measurements of IV over a longer period.
[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  Start date          : 2022/03/22 14:13:06
[14:13:06] [INFO ]  User                : silicon
[14:13:06] [INFO ]  Host                : HGC-PC
[14:13:06] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[14:13:06] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_141306/log.txt
[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  Initialising device.
[14:13:06] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:13:06] [INFO ]  Initialising device.
[14:13:06] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:13:07] [INFO ]  Measurement Settings:
[14:13:07] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:13:07] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:13:07] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:13:07] [INFO ]  Voltage Delay:                       3.00 s
[14:13:07] [INFO ]  	
[14:13:07] [INFO ]  	
[14:13:07] [INFO ]   Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
[14:15:24] [INFO ]  -2.10E+02	-2.10E+02	1.00E+04	4.5505E-11	1.92E-14	7.56E+06	6.63E+04	-9.92E-05
[14:15:25] [INFO ]  -2.10E+02	-2.10E+02	1.00E+05	4.6095E-11	2.87E-16	2.87E+06	3.36E+03	-9.92E-05
[14:15:25] [INFO ]  -2.10E+02	-2.10E+02	1.00E+06	4.6043E-11	3.22E-15	2.34E+05	6.91E+02	-9.92E-05
[14:15:31] [INFO ]  -2.20E+02	-2.20E+02	1.00E+04	4.5478E-11	1.44E-14	7.88E+06	6.28E+04	-1.02E-04
[14:15:31] [INFO ]  -2.20E+02	-2.20E+02	1.00E+05	4.6099E-11	3.72E-16	2.83E+06	1.97E+03	-1.02E-04
[14:15:32] [INFO ]  -2.20E+02	-2.20E+02	1.00E+06	4.6042E-11	4.54E-15	2.34E+05	1.68E+03	-1.02E-04
[14:15:37] [INFO ]  -2.30E+02	-2.30E+02	1.00E+04	4.5431E-11	1.86E-14	7.45E+06	4.65E+04	-1.06E-04
[14:15:38] [INFO ]  -2.30E+02	-2.30E+02	1.00E+05	4.6093E-11	4.59E-16	3.00E+06	1.15E+03	-1.06E-04
[14:15:38] [INFO ]  -2.30E+02	-2.30E+02	1.00E+06	4.6044E-11	4.72E-15	2.34E+05	7.66E+02	-1.06E-04
[14:15:44] [INFO ]  -2.40E+02	-2.40E+02	1.00E+04	4.5430E-11	1.47E-14	7.49E+06	1.63E+04	-1.09E-04
[14:15:45] [INFO ]  -2.40E+02	-2.40E+02	1.00E+05	4.6093E-11	4.03E-16	3.00E+06	3.04E+03	-1.09E-04
[14:15:45] [INFO ]  -2.40E+02	-2.40E+02	1.00E+06	4.6045E-11	4.09E-15	2.34E+05	1.16E+03	-1.09E-04
[14:15:51] [INFO ]  -2.50E+02	-2.50E+02	1.00E+04	4.5428E-11	1.46E-14	7.54E+06	4.56E+04	-1.12E-04
[14:15:51] [INFO ]  -2.50E+02	-2.50E+02	1.00E+05	4.6093E-11	3.03E-16	3.02E+06	9.26E+02	-1.12E-04
[14:15:52] [INFO ]  -2.50E+02	-2.50E+02	1.00E+06	4.6045E-11	3.50E-15	2.35E+05	8.95E+02	-1.12E-04
[14:15:57] [INFO ]  -2.60E+02	-2.60E+02	1.00E+04	4.5423E-11	2.54E-14	7.54E+06	5.09E+04	-1.15E-04
[14:15:58] [INFO ]  -2.60E+02	-2.60E+02	1.00E+05	4.6092E-11	4.12E-16	3.02E+06	1.89E+03	-1.15E-04
[14:15:58] [INFO ]  -2.60E+02	-2.60E+02	1.00E+06	4.6042E-11	3.41E-15	2.35E+05	4.99E+02	-1.15E-04
[14:16:04] [INFO ]  -2.70E+02	-2.70E+02	1.00E+04	4.5437E-11	1.51E-14	7.60E+06	7.53E+04	-1.19E-04
[14:16:05] [INFO ]  -2.70E+02	-2.70E+02	1.00E+05	4.6094E-11	4.45E-16	3.03E+06	1.39E+03	-1.19E-04
[14:16:05] [INFO ]  -2.70E+02	-2.70E+02	1.00E+06	4.6046E-11	3.38E-15	2.34E+05	1.24E+03	-1.19E-04
[14:16:11] [INFO ]  -2.80E+02	-2.80E+02	1.00E+04	4.5431E-11	2.09E-14	7.57E+06	3.79E+04	-1.22E-04
[14:16:11] [INFO ]  -2.80E+02	-2.80E+02	1.00E+05	4.6095E-11	5.19E-16	3.04E+06	1.60E+03	-1.22E-04
[14:16:12] [INFO ]  -2.80E+02	-2.80E+02	1.00E+06	4.6047E-11	3.45E-15	2.35E+05	2.20E+03	-1.22E-04
[14:16:17] [INFO ]  -2.90E+02	-2.90E+02	1.00E+04	4.5428E-11	9.10E-15	7.61E+06	7.85E+04	-1.25E-04
[14:16:18] [INFO ]  -2.90E+02	-2.90E+02	1.00E+05	4.6094E-11	4.24E-16	3.05E+06	2.57E+03	-1.25E-04
[14:16:18] [INFO ]  -2.90E+02	-2.90E+02	1.00E+06	4.6048E-11	4.34E-15	2.34E+05	1.67E+03	-1.25E-04
[14:16:24] [INFO ]  -3.00E+02	-3.00E+02	1.00E+04	4.5434E-11	2.75E-14	7.68E+06	3.35E+04	-1.29E-04
[14:16:25] [INFO ]  -3.00E+02	-3.00E+02	1.00E+05	4.6094E-11	2.90E-16	3.05E+06	2.82E+03	-1.29E-04
[14:16:25] [INFO ]  -3.00E+02	-3.00E+02	1.00E+06	4.6045E-11	5.22E-15	2.34E+05	1.09E+03	-1.29E-04
[14:16:31] [INFO ]  -3.10E+02	-3.10E+02	1.00E+04	4.5427E-11	2.25E-14	7.64E+06	5.62E+04	-1.32E-04
[14:16:31] [INFO ]  -3.10E+02	-3.10E+02	1.00E+05	4.6092E-11	2.24E-16	3.05E+06	1.79E+03	-1.32E-04
