# Interpad C
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# Voltage Delay:                       3.00 s
# 
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
-2.30000E+02	-2.29940E+02	1.00000E+04	4.54306E-11	1.85991E-14	7.45278E+06	4.65070E+04	-1.05683E-04
-2.30000E+02	-2.29940E+02	1.00000E+05	4.60931E-11	4.58694E-16	2.99711E+06	1.15490E+03	-1.05683E-04
-2.30000E+02	-2.29940E+02	1.00000E+06	4.60438E-11	4.72000E-15	2.33924E+05	7.65573E+02	-1.05683E-04
-2.40000E+02	-2.39931E+02	1.00000E+04	4.54300E-11	1.46628E-14	7.48855E+06	1.62605E+04	-1.08905E-04
-2.40000E+02	-2.39931E+02	1.00000E+05	4.60930E-11	4.02989E-16	3.00321E+06	3.03983E+03	-1.08905E-04
-2.40000E+02	-2.39931E+02	1.00000E+06	4.60448E-11	4.09028E-15	2.34068E+05	1.16203E+03	-1.08905E-04
-2.50000E+02	-2.49940E+02	1.00000E+04	4.54279E-11	1.46294E-14	7.53761E+06	4.56403E+04	-1.12147E-04
-2.50000E+02	-2.49940E+02	1.00000E+05	4.60927E-11	3.03315E-16	3.01529E+06	9.26218E+02	-1.12147E-04
-2.50000E+02	-2.49940E+02	1.00000E+06	4.60454E-11	3.49949E-15	2.34627E+05	8.94792E+02	-1.12147E-04
-2.60000E+02	-2.59950E+02	1.00000E+04	4.54232E-11	2.53716E-14	7.54021E+06	5.09191E+04	-1.15402E-04
-2.60000E+02	-2.59950E+02	1.00000E+05	4.60921E-11	4.11825E-16	3.02452E+06	1.88600E+03	-1.15402E-04
-2.60000E+02	-2.59950E+02	1.00000E+06	4.60422E-11	3.41327E-15	2.35075E+05	4.99074E+02	-1.15402E-04
-2.70000E+02	-2.69937E+02	1.00000E+04	4.54368E-11	1.50556E-14	7.60257E+06	7.53305E+04	-1.18674E-04
-2.70000E+02	-2.69937E+02	1.00000E+05	4.60943E-11	4.44522E-16	3.02863E+06	1.38983E+03	-1.18674E-04
-2.70000E+02	-2.69937E+02	1.00000E+06	4.60462E-11	3.38089E-15	2.33946E+05	1.24033E+03	-1.18674E-04
-2.80000E+02	-2.79945E+02	1.00000E+04	4.54311E-11	2.08513E-14	7.56899E+06	3.78591E+04	-1.21825E-04
-2.80000E+02	-2.79945E+02	1.00000E+05	4.60945E-11	5.19230E-16	3.04342E+06	1.60419E+03	-1.21825E-04
-2.80000E+02	-2.79945E+02	1.00000E+06	4.60473E-11	3.45103E-15	2.34882E+05	2.19782E+03	-1.21825E-04
-2.90000E+02	-2.89954E+02	1.00000E+04	4.54276E-11	9.09650E-15	7.61470E+06	7.84850E+04	-1.25197E-04
