[15:02:01] [INFO ]  	
[15:02:01] [INFO ]  
[15:02:01] [INFO ]  ------------------------------------------
[15:02:01] [INFO ]  Single CV Measurement
[15:02:01] [INFO ]  ------------------------------------------
[15:02:01] [INFO ]  Measurement of C-V curve for a single cell on the wafer.
[15:02:01] [INFO ]  	
[15:02:01] [INFO ]  Start date          : 2022/03/22 15:02:01
[15:02:01] [INFO ]  User                : silicon
[15:02:01] [INFO ]  Host                : HGC-PC
[15:02:01] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[15:02:01] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_150201/log.txt
[15:02:01] [INFO ]  	
[15:02:01] [INFO ]  Initialising device.
[15:02:02] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[15:02:02] [INFO ]  Initialising device.
[15:02:02] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[15:02:02] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[15:02:02] [INFO ]  Power Supply current limit:      1.00E-03 A
[15:02:02] [INFO ]  LCR measurement voltage:         5.00E-01 V
[15:02:02] [INFO ]  LCR measurement frequency:       1.00E+03 Hz
[15:02:02] [INFO ]  Voltage Delay:                       3.00 s
[15:02:02] [INFO ]  	
[15:02:02] [INFO ]  	
[15:02:02] [INFO ]  Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
[15:05:24] [INFO ]  -2.30E+02	-2.30E+02	5.00E+02	1.43E+06	7.94E+02	-3.12E+06	3.35E+02	1.022E-10	8.436E-11	-1.01E-04
[15:05:25] [INFO ]  -2.30E+02	-2.30E+02	1.00E+03	6.37E+05	2.04E+01	-1.88E+06	6.03E+01	8.482E-11	7.605E-11	-1.01E-04
[15:05:26] [INFO ]  -2.30E+02	-2.30E+02	1.00E+04	1.76E+04	6.73E-01	-2.50E+05	9.80E-01	6.367E-11	6.336E-11	-1.01E-04
[15:05:33] [INFO ]  -2.40E+02	-2.37E+02	5.00E+02	1.43E+06	4.06E+02	-3.15E+06	5.70E+02	1.009E-10	8.368E-11	-1.29E-04
[15:05:34] [INFO ]  -2.40E+02	-2.37E+02	1.00E+03	6.31E+05	1.54E+02	-1.89E+06	4.36E+01	8.407E-11	7.566E-11	-1.29E-04
[15:05:35] [INFO ]  -2.40E+02	-2.37E+02	1.00E+04	1.72E+04	7.17E-01	-2.50E+05	1.17E+00	6.365E-11	6.335E-11	-1.29E-04
[15:05:41] [INFO ]  -2.50E+02	-2.50E+02	5.00E+02	1.43E+06	3.28E+02	-3.19E+06	2.83E+02	9.970E-11	8.299E-11	-1.06E-04
[15:05:43] [INFO ]  -2.50E+02	-2.50E+02	1.00E+03	6.26E+05	3.51E+01	-1.91E+06	4.12E+01	8.336E-11	7.528E-11	-1.06E-04
[15:05:44] [INFO ]  -2.50E+02	-2.50E+02	1.00E+04	1.68E+04	7.31E-01	-2.50E+05	1.33E+00	6.362E-11	6.333E-11	-1.06E-04
[15:05:50] [INFO ]  -2.60E+02	-2.60E+02	5.00E+02	1.43E+06	2.91E+02	-3.23E+06	4.29E+02	9.858E-11	8.235E-11	-1.09E-04
[15:05:52] [INFO ]  -2.60E+02	-2.60E+02	1.00E+03	6.20E+05	8.86E+00	-1.92E+06	5.71E+01	8.269E-11	7.491E-11	-1.09E-04
[15:05:53] [INFO ]  -2.60E+02	-2.60E+02	1.00E+04	1.64E+04	9.35E-01	-2.50E+05	8.00E-01	6.359E-11	6.332E-11	-1.09E-04
[15:05:59] [INFO ]  -2.70E+02	-2.70E+02	5.00E+02	1.43E+06	3.26E+02	-3.26E+06	2.06E+02	9.755E-11	8.175E-11	-1.12E-04
[15:06:00] [INFO ]  -2.70E+02	-2.70E+02	1.00E+03	6.15E+05	3.15E+01	-1.94E+06	5.08E+01	8.206E-11	7.456E-11	-1.12E-04
[15:06:02] [INFO ]  -2.70E+02	-2.70E+02	1.00E+04	1.60E+04	1.68E+00	-2.50E+05	4.92E+00	6.357E-11	6.331E-11	-1.12E-04
[15:06:08] [INFO ]  -2.80E+02	-2.80E+02	5.00E+02	1.44E+06	3.90E+02	-3.30E+06	4.10E+02	9.658E-11	8.117E-11	-1.15E-04
[15:06:09] [INFO ]  -2.80E+02	-2.80E+02	1.00E+03	6.10E+05	2.37E+01	-1.95E+06	3.92E+01	8.146E-11	7.422E-11	-1.15E-04
[15:06:10] [INFO ]  -2.80E+02	-2.80E+02	1.00E+04	1.56E+04	9.00E-01	-2.50E+05	1.02E+00	6.354E-11	6.329E-11	-1.15E-04
[15:06:17] [INFO ]  -2.90E+02	-2.90E+02	5.00E+02	1.44E+06	4.35E+02	-3.33E+06	2.49E+02	9.566E-11	8.061E-11	-1.18E-04
[15:06:18] [INFO ]  -2.90E+02	-2.90E+02	1.00E+03	6.06E+05	2.59E+01	-1.97E+06	6.25E+01	8.088E-11	7.388E-11	-1.18E-04
[15:06:19] [INFO ]  -2.90E+02	-2.90E+02	1.00E+04	1.53E+04	1.08E+00	-2.51E+05	2.73E+00	6.352E-11	6.328E-11	-1.18E-04
[15:06:25] [INFO ]  -3.00E+02	-3.00E+02	5.00E+02	1.44E+06	4.01E+02	-3.36E+06	3.68E+02	9.479E-11	8.008E-11	-1.21E-04
[15:06:27] [INFO ]  -3.00E+02	-3.00E+02	1.00E+03	6.02E+05	6.11E+01	-1.98E+06	3.01E+01	8.034E-11	7.355E-11	-1.21E-04
[15:06:28] [INFO ]  -3.00E+02	-3.00E+02	1.00E+04	1.49E+04	1.24E+00	-2.51E+05	7.48E-01	6.349E-11	6.327E-11	-1.21E-04
[15:06:34] [INFO ]  -3.10E+02	-3.10E+02	5.00E+02	1.44E+06	3.34E+02	-3.39E+06	4.05E+02	9.395E-11	7.955E-11	-1.24E-04
[15:06:36] [INFO ]  -3.10E+02	-3.10E+02	1.00E+03	5.98E+05	5.00E+01	-1.99E+06	5.00E+01	7.981E-11	7.323E-11	-1.24E-04
[15:06:37] [INFO ]  -3.10E+02	-3.10E+02	1.00E+04	1.46E+04	1.42E+00	-2.51E+05	6.32E-01	6.347E-11	6.326E-11	-1.24E-04
[15:06:43] [INFO ]  -3.20E+02	-3.20E+02	5.00E+02	1.44E+06	2.97E+02	-3.42E+06	5.44E+02	9.318E-11	7.905E-11	-1.27E-04
[15:06:44] [INFO ]  -3.20E+02	-3.20E+02	1.00E+03	5.94E+05	5.54E+01	-2.01E+06	6.32E+01	7.931E-11	7.291E-11	-1.27E-04
[15:06:46] [INFO ]  -3.20E+02	-3.20E+02	1.00E+04	1.43E+04	5.75E-01	-2.51E+05	1.94E+00	6.345E-11	6.324E-11	-1.27E-04
[15:06:52] [INFO ]  -3.30E+02	-3.30E+02	5.00E+02	1.45E+06	2.45E+02	-3.44E+06	2.84E+02	9.242E-11	7.855E-11	-1.30E-04
[15:06:53] [INFO ]  -3.30E+02	-3.30E+02	1.00E+03	5.91E+05	3.87E+01	-2.02E+06	3.01E+01	7.882E-11	7.260E-11	-1.30E-04
[15:06:55] [INFO ]  -3.30E+02	-3.30E+02	1.00E+04	1.40E+04	1.91E+00	-2.51E+05	1.83E+00	6.343E-11	6.323E-11	-1.30E-04
[15:07:01] [INFO ]  -3.40E+02	-3.40E+02	5.00E+02	1.45E+06	3.22E+02	-3.47E+06	4.22E+02	9.171E-11	7.808E-11	-1.33E-04
[15:07:02] [INFO ]  -3.40E+02	-3.40E+02	1.00E+03	5.87E+05	4.40E+01	-2.03E+06	5.54E+01	7.834E-11	7.230E-11	-1.33E-04
[15:07:04] [INFO ]  -3.40E+02	-3.40E+02	1.00E+04	1.36E+04	7.40E-01	-2.51E+05	1.17E+00	6.341E-11	6.322E-11	-1.33E-04
[15:07:10] [INFO ]  -3.50E+02	-3.50E+02	5.00E+02	1.45E+06	4.01E+02	-3.50E+06	4.36E+02	9.101E-11	7.760E-11	-1.37E-04
[15:07:11] [INFO ]  -3.50E+02	-3.50E+02	1.00E+03	5.84E+05	7.03E+01	-2.04E+06	5.10E+01	7.788E-11	7.199E-11	-1.37E-04
[15:07:12] [INFO ]  -3.50E+02	-3.50E+02	1.00E+04	1.33E+04	5.68E-01	-2.51E+05	2.04E+00	6.339E-11	6.321E-11	-1.37E-04
[15:07:19] [INFO ]  -3.60E+02	-3.60E+02	5.00E+02	1.46E+06	5.05E+02	-3.52E+06	4.21E+02	9.036E-11	7.716E-11	-1.40E-04
[15:07:20] [INFO ]  -3.60E+02	-3.60E+02	1.00E+03	5.82E+05	2.21E+01	-2.06E+06	7.60E+01	7.743E-11	7.169E-11	-1.40E-04
[15:07:21] [INFO ]  -3.60E+02	-3.60E+02	1.00E+04	1.30E+04	1.14E+00	-2.51E+05	1.02E+00	6.337E-11	6.320E-11	-1.40E-04
[15:07:27] [INFO ]  -3.70E+02	-3.70E+02	5.00E+02	1.46E+06	1.91E+02	-3.55E+06	3.03E+02	8.971E-11	7.670E-11	-1.43E-04
[15:07:29] [INFO ]  -3.70E+02	-3.70E+02	1.00E+03	5.79E+05	3.36E+01	-2.07E+06	5.62E+01	7.699E-11	7.139E-11	-1.43E-04
[15:07:30] [INFO ]  -3.70E+02	-3.70E+02	1.00E+04	1.27E+04	9.45E-01	-2.51E+05	1.17E+00	6.335E-11	6.319E-11	-1.43E-04
[15:07:36] [INFO ]  -3.80E+02	-3.80E+02	5.00E+02	1.47E+06	4.59E+02	-3.57E+06	4.91E+02	8.909E-11	7.627E-11	-1.46E-04
[15:07:38] [INFO ]  -3.80E+02	-3.80E+02	1.00E+03	5.76E+05	7.71E+01	-2.08E+06	3.29E+01	7.656E-11	7.109E-11	-1.46E-04
[15:07:39] [INFO ]  -3.80E+02	-3.80E+02	1.00E+04	1.24E+04	9.88E-01	-2.51E+05	6.32E-01	6.333E-11	6.317E-11	-1.46E-04
[15:07:45] [INFO ]  -3.90E+02	-3.90E+02	5.00E+02	1.47E+06	3.21E+02	-3.60E+06	3.73E+02	8.850E-11	7.584E-11	-1.49E-04
[15:07:46] [INFO ]  -3.90E+02	-3.90E+02	1.00E+03	5.74E+05	5.54E+01	-2.09E+06	4.59E+01	7.614E-11	7.079E-11	-1.49E-04
[15:07:48] [INFO ]  -3.90E+02	-3.90E+02	1.00E+04	1.21E+04	1.34E+00	-2.51E+05	4.90E-01	6.331E-11	6.316E-11	-1.49E-04
[15:07:54] [INFO ]  -4.00E+02	-4.00E+02	5.00E+02	1.47E+06	2.51E+02	-3.62E+06	2.64E+02	8.793E-11	7.542E-11	-1.52E-04
[15:07:55] [INFO ]  -4.00E+02	-4.00E+02	1.00E+03	5.72E+05	1.00E+02	-2.10E+06	6.86E+01	7.571E-11	7.050E-11	-1.52E-04
[15:07:57] [INFO ]  -4.00E+02	-4.00E+02	1.00E+04	1.18E+04	1.17E+00	-2.51E+05	8.00E-01	6.329E-11	6.315E-11	-1.52E-04
[15:08:03] [INFO ]  -4.10E+02	-4.10E+02	5.00E+02	1.48E+06	3.25E+02	-3.64E+06	2.57E+02	8.735E-11	7.499E-11	-1.56E-04
[15:08:04] [INFO ]  -4.10E+02	-4.10E+02	1.00E+03	5.70E+05	3.54E+01	-2.11E+06	7.50E+01	7.530E-11	7.019E-11	-1.56E-04
[15:08:06] [INFO ]  -4.10E+02	-4.10E+02	1.00E+04	1.15E+04	2.22E+00	-2.52E+05	7.48E-01	6.327E-11	6.314E-11	-1.56E-04
[15:08:12] [INFO ]  -4.20E+02	-4.20E+02	5.00E+02	1.49E+06	3.14E+02	-3.67E+06	4.06E+02	8.680E-11	7.457E-11	-1.59E-04
