# Single CV
# 
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       3.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-1.40000E+02	-1.39939E+02	1.00000E+04	2.32647E+02	2.37177E+00	-3.65131E+05	1.67332E+00	4.35884E-11	4.35884E-11	-4.28950E-05
-1.50000E+02	-1.49929E+02	5.00000E+02	1.77243E+04	9.47494E+02	-7.29118E+06	6.91329E+02	4.36569E-11	4.36566E-11	-4.50498E-05
-1.50000E+02	-1.49929E+02	1.00000E+03	5.00027E+03	1.03067E+02	-3.64730E+06	2.28035E+01	4.36364E-11	4.36363E-11	-4.50498E-05
-1.50000E+02	-1.49929E+02	1.00000E+04	2.30980E+02	8.64940E-01	-3.65130E+05	8.00000E-01	4.35885E-11	4.35885E-11	-4.50498E-05
-1.60000E+02	-1.59936E+02	5.00000E+02	1.72335E+04	6.41683E+02	-7.29111E+06	1.07136E+03	4.36573E-11	4.36570E-11	-4.71850E-05
-1.60000E+02	-1.59936E+02	1.00000E+03	5.06061E+03	1.36891E+02	-3.64728E+06	8.65794E+01	4.36366E-11	4.36365E-11	-4.71850E-05
-1.60000E+02	-1.59936E+02	1.00000E+04	2.32020E+02	1.57524E+00	-3.65130E+05	1.32665E+00	4.35886E-11	4.35886E-11	-4.71850E-05
-1.70000E+02	-1.69947E+02	5.00000E+02	1.76271E+04	3.50005E+02	-7.29078E+06	8.74963E+02	4.36592E-11	4.36590E-11	-4.93201E-05
-1.70000E+02	-1.69947E+02	1.00000E+03	5.02841E+03	3.16773E+01	-3.64727E+06	9.53730E+01	4.36367E-11	4.36366E-11	-4.93201E-05
-1.70000E+02	-1.69947E+02	1.00000E+04	2.31900E+02	1.35266E+00	-3.65131E+05	1.74356E+00	4.35885E-11	4.35885E-11	-4.93201E-05
-1.80000E+02	-1.79935E+02	5.00000E+02	1.71407E+04	5.53878E+02	-7.29106E+06	9.82067E+02	4.36576E-11	4.36573E-11	-5.14293E-05
-1.80000E+02	-1.79935E+02	1.00000E+03	5.16086E+03	1.05225E+02	-3.64725E+06	8.49470E+01	4.36369E-11	4.36369E-11	-5.14293E-05
-1.80000E+02	-1.79935E+02	1.00000E+04	2.33157E+02	1.51481E+00	-3.65129E+05	1.32665E+00	4.35887E-11	4.35886E-11	-5.14293E-05
-1.90000E+02	-1.89940E+02	5.00000E+02	1.76134E+04	1.01080E+03	-7.29137E+06	2.85545E+02	4.36557E-11	4.36555E-11	-5.35081E-05
-1.90000E+02	-1.89940E+02	1.00000E+03	5.10812E+03	1.02178E+02	-3.64721E+06	5.27636E+01	4.36375E-11	4.36374E-11	-5.35081E-05
-1.90000E+02	-1.89940E+02	1.00000E+04	2.32599E+02	1.89610E+00	-3.65129E+05	1.46969E+00	4.35887E-11	4.35886E-11	-5.35081E-05
-2.00000E+02	-1.99949E+02	5.00000E+02	1.71954E+04	8.73108E+02	-7.29126E+06	8.37983E+02	4.36564E-11	4.36561E-11	-5.55895E-05
-2.00000E+02	-1.99949E+02	1.00000E+03	5.02636E+03	4.16089E+01	-3.64736E+06	7.85875E+01	4.36357E-11	4.36356E-11	-5.55895E-05
-2.00000E+02	-1.99949E+02	1.00000E+04	2.33414E+02	1.55780E+00	-3.65128E+05	2.19089E+00	4.35888E-11	4.35888E-11	-5.55895E-05
-2.10000E+02	-2.09938E+02	5.00000E+02	1.74420E+04	1.12888E+03	-7.29165E+06	8.08965E+02	4.36541E-11	4.36538E-11	-5.76649E-05
-2.10000E+02	-2.09938E+02	1.00000E+03	5.08371E+03	9.27112E+01	-3.64723E+06	7.00286E+01	4.36372E-11	4.36371E-11	-5.76649E-05
-2.10000E+02	-2.09938E+02	1.00000E+04	2.33061E+02	8.61770E-01	-3.65129E+05	2.22711E+00	4.35887E-11	4.35886E-11	-5.76649E-05
-2.20000E+02	-2.19947E+02	5.00000E+02	1.70257E+04	7.66746E+02	-7.29127E+06	1.11413E+03	4.36563E-11	4.36561E-11	-5.97329E-05
-2.20000E+02	-2.19947E+02	1.00000E+03	5.03068E+03	6.99433E+01	-3.64731E+06	1.63634E+02	4.36362E-11	4.36361E-11	-5.97329E-05
-2.20000E+02	-2.19947E+02	1.00000E+04	2.33492E+02	1.49637E+00	-3.65130E+05	1.78885E+00	4.35886E-11	4.35886E-11	-5.97329E-05
-2.30000E+02	-2.29953E+02	5.00000E+02	1.72927E+04	1.07660E+03	-7.29106E+06	5.33389E+02	4.36575E-11	4.36573E-11	-6.17802E-05
-2.30000E+02	-2.29953E+02	1.00000E+03	5.05438E+03	9.56533E+01	-3.64727E+06	1.22474E+02	4.36367E-11	4.36366E-11	-6.17802E-05
-2.30000E+02	-2.29953E+02	1.00000E+04	2.32534E+02	1.15007E+00	-3.65131E+05	1.60000E+00	4.35885E-11	4.35885E-11	-6.17802E-05
-2.40000E+02	-2.39942E+02	5.00000E+02	1.73745E+04	1.10337E+03	-7.29130E+06	5.69154E+02	4.36561E-11	4.36559E-11	-6.38137E-05
-2.40000E+02	-2.39942E+02	1.00000E+03	5.12629E+03	1.04771E+02	-3.64727E+06	9.23905E+01	4.36367E-11	4.36366E-11	-6.38137E-05
-2.40000E+02	-2.39942E+02	1.00000E+04	2.32032E+02	1.41719E+00	-3.65128E+05	8.00000E-01	4.35888E-11	4.35887E-11	-6.38137E-05
-2.50000E+02	-2.49951E+02	5.00000E+02	1.76579E+04	8.74425E+02	-7.29157E+06	5.51384E+02	4.36545E-11	4.36543E-11	-6.58506E-05
-2.50000E+02	-2.49951E+02	1.00000E+03	5.01369E+03	1.23851E+02	-3.64732E+06	8.11419E+01	4.36362E-11	4.36361E-11	-6.58506E-05
-2.50000E+02	-2.49951E+02	1.00000E+04	2.34543E+02	2.08959E+00	-3.65129E+05	1.60000E+00	4.35887E-11	4.35886E-11	-6.58506E-05
-2.60000E+02	-2.59961E+02	5.00000E+02	1.74425E+04	6.52805E+02	-7.29144E+06	7.25799E+02	4.36553E-11	4.36550E-11	-6.78918E-05
-2.60000E+02	-2.59961E+02	1.00000E+03	5.05956E+03	7.42147E+01	-3.64725E+06	8.39047E+01	4.36370E-11	4.36369E-11	-6.78918E-05
-2.60000E+02	-2.59961E+02	1.00000E+04	2.33046E+02	2.21889E+00	-3.65129E+05	8.00000E-01	4.35887E-11	4.35887E-11	-6.78918E-05
-2.70000E+02	-2.69946E+02	5.00000E+02	1.73926E+04	1.05697E+03	-7.29158E+06	2.88333E+02	4.36544E-11	4.36542E-11	-6.99090E-05
-2.70000E+02	-2.69946E+02	1.00000E+03	5.00971E+03	6.66824E+01	-3.64725E+06	6.76461E+01	4.36370E-11	4.36369E-11	-6.99090E-05
-2.70000E+02	-2.69946E+02	1.00000E+04	2.31340E+02	2.03385E+00	-3.65129E+05	2.03961E+00	4.35887E-11	4.35886E-11	-6.99090E-05
-2.80000E+02	-2.79953E+02	5.00000E+02	1.70955E+04	5.34603E+02	-7.29104E+06	7.28522E+02	4.36577E-11	4.36575E-11	-7.19166E-05
-2.80000E+02	-2.79953E+02	1.00000E+03	5.12297E+03	9.71464E+01	-3.64728E+06	1.29399E+02	4.36367E-11	4.36366E-11	-7.19166E-05
-2.80000E+02	-2.79953E+02	1.00000E+04	2.32859E+02	1.31935E+00	-3.65130E+05	9.79796E-01	4.35885E-11	4.35885E-11	-7.19166E-05
-2.90000E+02	-2.89961E+02	5.00000E+02	1.77400E+04	7.34479E+02	-7.29137E+06	2.58890E+02	4.36557E-11	4.36554E-11	-7.39546E-05
-2.90000E+02	-2.89961E+02	1.00000E+03	5.01410E+03	1.14003E+02	-3.64726E+06	9.37230E+01	4.36368E-11	4.36367E-11	-7.39546E-05
-2.90000E+02	-2.89961E+02	1.00000E+04	2.34202E+02	1.15064E+00	-3.65129E+05	1.67332E+00	4.35887E-11	4.35887E-11	-7.39546E-05
-3.00000E+02	-2.99950E+02	5.00000E+02	1.68586E+04	5.27806E+02	-7.29159E+06	7.83086E+02	4.36544E-11	4.36541E-11	-7.59632E-05
-3.00000E+02	-2.99950E+02	1.00000E+03	5.15901E+03	5.29328E+01	-3.64726E+06	5.71314E+01	4.36369E-11	4.36368E-11	-7.59632E-05
-3.00000E+02	-2.99950E+02	1.00000E+04	2.33980E+02	1.54321E+00	-3.65130E+05	7.48331E-01	4.35885E-11	4.35885E-11	-7.59632E-05
-3.10000E+02	-3.09962E+02	5.00000E+02	1.74223E+04	4.48774E+02	-7.29049E+06	6.52564E+02	4.36610E-11	4.36607E-11	-7.80400E-05
-3.10000E+02	-3.09962E+02	1.00000E+03	4.99828E+03	1.47248E+02	-3.64728E+06	5.38888E+01	4.36366E-11	4.36365E-11	-7.80400E-05
-3.10000E+02	-3.09962E+02	1.00000E+04	2.33361E+02	1.09220E+00	-3.65129E+05	1.72047E+00	4.35887E-11	4.35886E-11	-7.80400E-05
-3.20000E+02	-3.19972E+02	5.00000E+02	1.70210E+04	8.96468E+02	-7.29167E+06	7.74674E+02	4.36539E-11	4.36537E-11	-8.00931E-05
