[14:44:30] [INFO ]  	
[14:44:30] [INFO ]  
[14:44:30] [INFO ]  ------------------------------------------
[14:44:30] [INFO ]  Single CV Measurement
[14:44:30] [INFO ]  ------------------------------------------
[14:44:30] [INFO ]  Measurement of C-V curve for a single cell on the wafer.
[14:44:30] [INFO ]  	
[14:44:30] [INFO ]  Start date          : 2022/03/22 14:44:30
[14:44:30] [INFO ]  User                : silicon
[14:44:30] [INFO ]  Host                : HGC-PC
[14:44:30] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16_CV_open
[14:44:30] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16_CV_open/01_20220322_144430/log.txt
[14:44:30] [INFO ]  	
[14:44:30] [INFO ]  Initialising device.
[14:44:30] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:44:30] [INFO ]  Initialising device.
[14:44:30] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:44:31] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:44:31] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:44:31] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:44:31] [INFO ]  LCR measurement frequency:       1.00E+03 Hz
[14:44:31] [INFO ]  Voltage Delay:                       3.00 s
[14:44:31] [INFO ]  	
[14:44:31] [INFO ]  	
[14:44:31] [INFO ]  Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
[14:47:52] [INFO ]  -2.30E+02	-2.30E+02	1.00E+04	2.33E+02	1.15E+00	-3.65E+05	1.60E+00	4.359E-11	4.359E-11	-6.18E-05
[14:47:58] [INFO ]  -2.40E+02	-2.40E+02	5.00E+02	1.74E+04	1.10E+03	-7.29E+06	5.69E+02	4.366E-11	4.366E-11	-6.38E-05
[14:47:59] [INFO ]  -2.40E+02	-2.40E+02	1.00E+03	5.13E+03	1.05E+02	-3.65E+06	9.24E+01	4.364E-11	4.364E-11	-6.38E-05
[14:48:00] [INFO ]  -2.40E+02	-2.40E+02	1.00E+04	2.32E+02	1.42E+00	-3.65E+05	8.00E-01	4.359E-11	4.359E-11	-6.38E-05
[14:48:07] [INFO ]  -2.50E+02	-2.50E+02	5.00E+02	1.77E+04	8.74E+02	-7.29E+06	5.51E+02	4.365E-11	4.365E-11	-6.59E-05
[14:48:08] [INFO ]  -2.50E+02	-2.50E+02	1.00E+03	5.01E+03	1.24E+02	-3.65E+06	8.11E+01	4.364E-11	4.364E-11	-6.59E-05
[14:48:09] [INFO ]  -2.50E+02	-2.50E+02	1.00E+04	2.35E+02	2.09E+00	-3.65E+05	1.60E+00	4.359E-11	4.359E-11	-6.59E-05
[14:48:15] [INFO ]  -2.60E+02	-2.60E+02	5.00E+02	1.74E+04	6.53E+02	-7.29E+06	7.26E+02	4.366E-11	4.366E-11	-6.79E-05
[14:48:17] [INFO ]  -2.60E+02	-2.60E+02	1.00E+03	5.06E+03	7.42E+01	-3.65E+06	8.39E+01	4.364E-11	4.364E-11	-6.79E-05
[14:48:18] [INFO ]  -2.60E+02	-2.60E+02	1.00E+04	2.33E+02	2.22E+00	-3.65E+05	8.00E-01	4.359E-11	4.359E-11	-6.79E-05
[14:48:24] [INFO ]  -2.70E+02	-2.70E+02	5.00E+02	1.74E+04	1.06E+03	-7.29E+06	2.88E+02	4.365E-11	4.365E-11	-6.99E-05
[14:48:26] [INFO ]  -2.70E+02	-2.70E+02	1.00E+03	5.01E+03	6.67E+01	-3.65E+06	6.76E+01	4.364E-11	4.364E-11	-6.99E-05
[14:48:27] [INFO ]  -2.70E+02	-2.70E+02	1.00E+04	2.31E+02	2.03E+00	-3.65E+05	2.04E+00	4.359E-11	4.359E-11	-6.99E-05
[14:48:33] [INFO ]  -2.80E+02	-2.80E+02	5.00E+02	1.71E+04	5.35E+02	-7.29E+06	7.29E+02	4.366E-11	4.366E-11	-7.19E-05
[14:48:34] [INFO ]  -2.80E+02	-2.80E+02	1.00E+03	5.12E+03	9.71E+01	-3.65E+06	1.29E+02	4.364E-11	4.364E-11	-7.19E-05
[14:48:36] [INFO ]  -2.80E+02	-2.80E+02	1.00E+04	2.33E+02	1.32E+00	-3.65E+05	9.80E-01	4.359E-11	4.359E-11	-7.19E-05
[14:48:42] [INFO ]  -2.90E+02	-2.90E+02	5.00E+02	1.77E+04	7.34E+02	-7.29E+06	2.59E+02	4.366E-11	4.366E-11	-7.40E-05
[14:48:43] [INFO ]  -2.90E+02	-2.90E+02	1.00E+03	5.01E+03	1.14E+02	-3.65E+06	9.37E+01	4.364E-11	4.364E-11	-7.40E-05
[14:48:45] [INFO ]  -2.90E+02	-2.90E+02	1.00E+04	2.34E+02	1.15E+00	-3.65E+05	1.67E+00	4.359E-11	4.359E-11	-7.40E-05
[14:48:51] [INFO ]  -3.00E+02	-3.00E+02	5.00E+02	1.69E+04	5.28E+02	-7.29E+06	7.83E+02	4.365E-11	4.365E-11	-7.60E-05
[14:48:52] [INFO ]  -3.00E+02	-3.00E+02	1.00E+03	5.16E+03	5.29E+01	-3.65E+06	5.71E+01	4.364E-11	4.364E-11	-7.60E-05
[14:48:54] [INFO ]  -3.00E+02	-3.00E+02	1.00E+04	2.34E+02	1.54E+00	-3.65E+05	7.48E-01	4.359E-11	4.359E-11	-7.60E-05
[14:49:00] [INFO ]  -3.10E+02	-3.10E+02	5.00E+02	1.74E+04	4.49E+02	-7.29E+06	6.53E+02	4.366E-11	4.366E-11	-7.80E-05
[14:49:01] [INFO ]  -3.10E+02	-3.10E+02	1.00E+03	5.00E+03	1.47E+02	-3.65E+06	5.39E+01	4.364E-11	4.364E-11	-7.80E-05
[14:49:02] [INFO ]  -3.10E+02	-3.10E+02	1.00E+04	2.33E+02	1.09E+00	-3.65E+05	1.72E+00	4.359E-11	4.359E-11	-7.80E-05
