# Interpad C
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# Voltage Delay:                       3.00 s
# 
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
-2.10000E+02	-2.09936E+02	1.00000E+06	4.47356E-11	8.23650E-16	2.27358E+05	1.35920E+02	-6.03166E-05
-2.20000E+02	-2.19944E+02	1.00000E+04	4.42912E-11	6.19193E-15	3.43529E+07	5.37006E+05	-6.24118E-05
-2.20000E+02	-2.19944E+02	1.00000E+05	4.48275E-11	1.16619E-16	4.19343E+06	1.07656E+03	-6.24118E-05
-2.20000E+02	-2.19944E+02	1.00000E+06	4.47359E-11	3.44093E-16	2.27459E+05	7.33168E+01	-6.24118E-05
-2.30000E+02	-2.29950E+02	1.00000E+04	4.42888E-11	5.21513E-15	3.42138E+07	4.20139E+05	-6.45147E-05
-2.30000E+02	-2.29950E+02	1.00000E+05	4.48274E-11	1.62481E-16	4.19186E+06	6.40106E+02	-6.45147E-05
-2.30000E+02	-2.29950E+02	1.00000E+06	4.47359E-11	6.66333E-16	2.27432E+05	1.17836E+02	-6.45147E-05
-2.40000E+02	-2.39941E+02	1.00000E+04	4.43063E-11	3.91867E-15	3.53117E+07	5.40312E+05	-6.66130E-05
-2.40000E+02	-2.39941E+02	1.00000E+05	4.48273E-11	1.01980E-16	4.19417E+06	6.12830E+02	-6.66130E-05
-2.40000E+02	-2.39941E+02	1.00000E+06	4.47359E-11	5.15364E-16	2.27411E+05	6.67221E+01	-6.66130E-05
-2.50000E+02	-2.49950E+02	1.00000E+04	4.43016E-11	3.15873E-15	3.44907E+07	8.52235E+05	-6.86966E-05
-2.50000E+02	-2.49950E+02	1.00000E+05	4.48274E-11	4.89898E-17	4.19270E+06	1.83528E+03	-6.86966E-05
-2.50000E+02	-2.49950E+02	1.00000E+06	4.47359E-11	6.40000E-16	2.27371E+05	5.53006E+01	-6.86966E-05
-2.60000E+02	-2.59958E+02	1.00000E+04	4.42972E-11	1.08712E-14	3.47189E+07	6.78259E+05	-7.07650E-05
-2.60000E+02	-2.59958E+02	1.00000E+05	4.48274E-11	1.26491E-16	4.19205E+06	1.27046E+03	-7.07650E-05
-2.60000E+02	-2.59958E+02	1.00000E+06	4.47360E-11	5.09902E-16	2.27348E+05	8.12394E+01	-7.07650E-05
