[14:27:35] [INFO ]  	
[14:27:35] [INFO ]  
[14:27:35] [INFO ]  ------------------------------------------
[14:27:35] [INFO ]  Single CV Measurement
[14:27:35] [INFO ]  ------------------------------------------
[14:27:35] [INFO ]  Multiple measurements of IV over a longer period.
[14:27:35] [INFO ]  	
[14:27:35] [INFO ]  Start date          : 2022/03/22 14:27:35
[14:27:35] [INFO ]  User                : silicon
[14:27:35] [INFO ]  Host                : HGC-PC
[14:27:35] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16_CV_open
[14:27:35] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16_CV_open/00_20220322_142735/log.txt
[14:27:35] [INFO ]  	
[14:27:35] [INFO ]  Initialising device.
[14:27:35] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:27:35] [INFO ]  Initialising device.
[14:27:35] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:27:36] [INFO ]  Measurement Settings:
[14:27:36] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:27:36] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:27:36] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:27:36] [INFO ]  Voltage Delay:                       3.00 s
[14:27:36] [INFO ]  	
[14:27:36] [INFO ]  	
[14:27:36] [INFO ]   Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
[14:29:49] [INFO ]  -2.00E+02	-2.00E+02	1.00E+06	4.4736E-11	3.76E-16	2.27E+05	5.35E+01	-5.82E-05
[14:29:55] [INFO ]  -2.10E+02	-2.10E+02	1.00E+04	4.4297E-11	7.66E-15	3.45E+07	1.03E+06	-6.03E-05
[14:29:55] [INFO ]  -2.10E+02	-2.10E+02	1.00E+05	4.4827E-11	1.60E-16	4.19E+06	1.15E+03	-6.03E-05
[14:29:56] [INFO ]  -2.10E+02	-2.10E+02	1.00E+06	4.4736E-11	8.24E-16	2.27E+05	1.36E+02	-6.03E-05
[14:30:01] [INFO ]  -2.20E+02	-2.20E+02	1.00E+04	4.4291E-11	6.19E-15	3.44E+07	5.37E+05	-6.24E-05
[14:30:02] [INFO ]  -2.20E+02	-2.20E+02	1.00E+05	4.4828E-11	1.17E-16	4.19E+06	1.08E+03	-6.24E-05
[14:30:02] [INFO ]  -2.20E+02	-2.20E+02	1.00E+06	4.4736E-11	3.44E-16	2.27E+05	7.33E+01	-6.24E-05
[14:30:08] [INFO ]  -2.30E+02	-2.30E+02	1.00E+04	4.4289E-11	5.22E-15	3.42E+07	4.20E+05	-6.45E-05
[14:30:08] [INFO ]  -2.30E+02	-2.30E+02	1.00E+05	4.4827E-11	1.62E-16	4.19E+06	6.40E+02	-6.45E-05
[14:30:09] [INFO ]  -2.30E+02	-2.30E+02	1.00E+06	4.4736E-11	6.66E-16	2.27E+05	1.18E+02	-6.45E-05
[14:30:15] [INFO ]  -2.40E+02	-2.40E+02	1.00E+04	4.4306E-11	3.92E-15	3.53E+07	5.40E+05	-6.66E-05
[14:30:15] [INFO ]  -2.40E+02	-2.40E+02	1.00E+05	4.4827E-11	1.02E-16	4.19E+06	6.13E+02	-6.66E-05
[14:30:16] [INFO ]  -2.40E+02	-2.40E+02	1.00E+06	4.4736E-11	5.15E-16	2.27E+05	6.67E+01	-6.66E-05
[14:30:21] [INFO ]  -2.50E+02	-2.50E+02	1.00E+04	4.4302E-11	3.16E-15	3.45E+07	8.52E+05	-6.87E-05
[14:30:22] [INFO ]  -2.50E+02	-2.50E+02	1.00E+05	4.4827E-11	4.90E-17	4.19E+06	1.84E+03	-6.87E-05
[14:30:22] [INFO ]  -2.50E+02	-2.50E+02	1.00E+06	4.4736E-11	6.40E-16	2.27E+05	5.53E+01	-6.87E-05
[14:30:28] [INFO ]  -2.60E+02	-2.60E+02	1.00E+04	4.4297E-11	1.09E-14	3.47E+07	6.78E+05	-7.08E-05
[14:30:28] [INFO ]  -2.60E+02	-2.60E+02	1.00E+05	4.4827E-11	1.26E-16	4.19E+06	1.27E+03	-7.08E-05
[14:30:29] [INFO ]  -2.60E+02	-2.60E+02	1.00E+06	4.4736E-11	5.10E-16	2.27E+05	8.12E+01	-7.08E-05
[14:30:34] [INFO ]  -2.70E+02	-2.70E+02	1.00E+04	4.4296E-11	4.41E-15	3.35E+07	8.63E+05	-7.29E-05
[14:30:35] [INFO ]  -2.70E+02	-2.70E+02	1.00E+05	4.4827E-11	1.02E-16	4.19E+06	1.24E+03	-7.29E-05
[14:30:35] [INFO ]  -2.70E+02	-2.70E+02	1.00E+06	4.4736E-11	6.54E-16	2.27E+05	7.58E+01	-7.29E-05
[14:30:41] [INFO ]  -2.80E+02	-2.80E+02	1.00E+04	4.4298E-11	8.77E-15	3.41E+07	6.74E+05	-7.50E-05
[14:30:41] [INFO ]  -2.80E+02	-2.80E+02	1.00E+05	4.4828E-11	1.62E-16	4.19E+06	1.38E+03	-7.50E-05
[14:30:42] [INFO ]  -2.80E+02	-2.80E+02	1.00E+06	4.4736E-11	7.34E-16	2.27E+05	1.15E+02	-7.50E-05
[14:30:47] [INFO ]  -2.90E+02	-2.90E+02	1.00E+04	4.4294E-11	3.64E-15	3.41E+07	4.35E+05	-7.71E-05
[14:30:48] [INFO ]  -2.90E+02	-2.90E+02	1.00E+05	4.4827E-11	4.00E-17	4.19E+06	1.18E+03	-7.71E-05
[14:30:48] [INFO ]  -2.90E+02	-2.90E+02	1.00E+06	4.4736E-11	5.62E-16	2.27E+05	1.18E+02	-7.71E-05
[14:30:54] [INFO ]  -3.00E+02	-3.00E+02	1.00E+04	4.4297E-11	5.94E-15	3.40E+07	4.34E+05	-7.93E-05
[14:30:55] [INFO ]  -3.00E+02	-3.00E+02	1.00E+05	4.4827E-11	8.00E-17	4.19E+06	1.53E+03	-7.93E-05
[14:30:55] [INFO ]  -3.00E+02	-3.00E+02	1.00E+06	4.4736E-11	6.47E-16	2.27E+05	8.83E+01	-7.93E-05
[14:31:01] [INFO ]  -3.10E+02	-3.10E+02	1.00E+04	4.4291E-11	5.76E-15	3.40E+07	8.35E+05	-8.15E-05
[14:31:01] [INFO ]  -3.10E+02	-3.10E+02	1.00E+05	4.4827E-11	1.47E-16	4.19E+06	6.21E+02	-8.15E-05
[14:31:02] [INFO ]  -3.10E+02	-3.10E+02	1.00E+06	4.4736E-11	4.12E-16	2.27E+05	9.63E+01	-8.15E-05
[14:31:07] [INFO ]  -3.20E+02	-3.20E+02	1.00E+04	4.4292E-11	7.21E-15	3.41E+07	5.94E+05	-8.37E-05
[14:31:08] [INFO ]  -3.20E+02	-3.20E+02	1.00E+05	4.4827E-11	8.00E-17	4.19E+06	1.51E+03	-8.37E-05
[14:31:08] [INFO ]  -3.20E+02	-3.20E+02	1.00E+06	4.4736E-11	7.23E-16	2.27E+05	9.21E+01	-8.37E-05
[14:31:14] [INFO ]  -3.30E+02	-3.30E+02	1.00E+04	4.4293E-11	8.90E-15	3.46E+07	9.02E+05	-8.59E-05
[14:31:14] [INFO ]  -3.30E+02	-3.30E+02	1.00E+05	4.4828E-11	1.74E-16	4.19E+06	1.15E+03	-8.59E-05
[14:31:15] [INFO ]  -3.30E+02	-3.30E+02	1.00E+06	4.4736E-11	6.86E-16	2.27E+05	8.04E+01	-8.59E-05
