# Interpad R
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# Voltage Delay:                       2.00 s
# 
# 
# 
# Bias Voltage[V]	Interpad Voltage [V]	Interpad Current Mean [A]	Interpad Current Error [A]	Resistance (polynom fit) [Ohm]	Resistance (diff) [Ohm]	dR (fit) [Ohm]	Chi2 of Fit [-]	Total Current [A]	
-7.00000E+01	-2.33218E-06	1.04812E-05	1.27541E-10	7.50534E+06	7.61096E+06	2.43920E+04	5.33600E+04	-4.74499E-05
-7.00000E+01	4.99977E-01	1.05516E-05	8.21922E-11	7.50534E+06	7.61096E+06	2.43920E+04	5.33600E+04	-4.74499E-05
-7.00000E+01	9.99993E-01	1.06216E-05	2.16025E-11	7.50534E+06	7.61096E+06	2.43920E+04	5.33600E+04	-4.74499E-05
-7.00000E+01	1.49997E+00	1.06911E-05	5.43650E-11	7.50534E+06	7.61096E+06	2.43920E+04	5.33600E+04	-4.74499E-05
-7.00000E+01	1.99998E+00	1.07587E-05	4.02768E-11	7.50534E+06	7.61096E+06	2.43920E+04	5.33600E+04	-4.74499E-05
-7.00000E+01	2.50004E+00	1.08248E-05	4.78423E-11	7.50534E+06	7.61096E+06	2.43920E+04	5.33600E+04	-4.74499E-05
-7.00000E+01	2.99994E+00	1.08911E-05	9.17727E-11	7.50534E+06	7.61096E+06	2.43920E+04	5.33600E+04	-4.74499E-05
-7.00000E+01	3.49993E+00	1.09574E-05	4.64280E-11	7.50534E+06	7.61096E+06	2.43920E+04	5.33600E+04	-4.74499E-05
-7.00000E+01	4.00014E+00	1.10211E-05	3.09121E-11	7.50534E+06	7.61096E+06	2.43920E+04	5.33600E+04	-4.74499E-05
-7.00000E+01	4.49999E+00	1.10827E-05	2.00056E-10	7.50534E+06	7.61096E+06	2.43920E+04	5.33600E+04	-4.74499E-05
-7.00000E+01	4.99993E+00	1.11429E-05	7.03957E-11	7.50534E+06	7.61096E+06	2.43920E+04	5.33600E+04	-4.74499E-05
-8.00000E+01	-3.86742E-06	1.13333E-05	1.31233E-10	7.70301E+06	7.76397E+06	6.42232E+04	1.47051E+05	-5.14537E-05
-8.00000E+01	4.99976E-01	1.14024E-05	7.31817E-11	7.70301E+06	7.76397E+06	6.42232E+04	1.47051E+05	-5.14537E-05
-8.00000E+01	9.99990E-01	1.14704E-05	2.49444E-11	7.70301E+06	7.76397E+06	6.42232E+04	1.47051E+05	-5.14537E-05
-8.00000E+01	1.49997E+00	1.15379E-05	1.09848E-10	7.70301E+06	7.76397E+06	6.42232E+04	1.47051E+05	-5.14537E-05
